[      54ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[     121ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[    2839ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[    2878ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[    4765ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[    4802ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[    7046ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[    7079ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[    9184ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[    9202ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   19794ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   19851ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   19898ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   20040ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   20079ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   20228ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   20262ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   20385ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   20419ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   20557ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   20590ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   20711ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   20770ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   20900ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   20927ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   21057ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   21095ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   21222ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   21248ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   21366ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   21405ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   21543ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   21580ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   21741ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   21771ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   21887ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   21937ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   22061ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   22101ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   22271ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   22309ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   22473ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   22522ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   30216ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   30273ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   30724ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   30841ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   30879ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   31007ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   31049ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   31181ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   31236ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   31395ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   31438ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   31597ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   31742ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   31796ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   31915ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   31954ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   32089ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   32135ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   32311ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   32340ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   32458ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   32513ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   32637ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   32681ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   32835ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   32866ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   33015ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   33181ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   33213ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   33345ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   33387ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   33523ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   33562ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   33749ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   33787ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   33897ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   33946ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
